               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 153,            0.025147,           0.0093495,                   0,             0.58562,             0.59375,             0.57146,             0.42317,            0.041442,            0.015583,                   0,            0.004984,            0.004984,            0.004984
                 154,             0.02587,           0.0097843,                   0,             0.46581,             0.65405,             0.55647,             0.37836,              0.0386,            0.015199,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.024174,           0.0091287,                   0,             0.49547,              0.5625,             0.51323,             0.33774,            0.040086,             0.01641,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.024193,           0.0086808,                   0,             0.44208,              0.5625,             0.46455,             0.31705,            0.041342,            0.017603,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.025293,           0.0085957,                   0,             0.49126,                 0.5,             0.49761,              0.3548,            0.039025,            0.017222,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.023738,           0.0093792,                   0,             0.60296,               0.625,             0.56452,             0.39043,            0.038784,            0.015986,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.025599,           0.0089027,                   0,             0.66445,               0.625,             0.56893,             0.37077,            0.040062,            0.014951,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.022824,           0.0097425,                   0,             0.70191,             0.58883,             0.54423,             0.38038,            0.040697,            0.015301,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.026442,           0.0089136,                   0,             0.66946,             0.56982,             0.53994,             0.38543,            0.041654,            0.015766,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.023687,           0.0085821,                   0,             0.55925,              0.5948,             0.54496,             0.37762,            0.039081,            0.015562,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.024972,           0.0089265,                   0,             0.56542,               0.625,             0.53399,             0.37508,            0.042648,             0.01691,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.023953,           0.0094034,                   0,             0.61726,               0.605,             0.56925,             0.40837,             0.04045,            0.014305,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.025869,           0.0099866,                   0,              0.6706,             0.53125,             0.55224,             0.42255,            0.038097,            0.014249,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.023211,           0.0088115,                   0,             0.64097,                 0.5,             0.51588,             0.36753,            0.038702,            0.015685,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.022451,           0.0085046,                   0,             0.63379,                 0.5,             0.51519,             0.37634,            0.040599,            0.015651,                   0,            0.004522,            0.004522,            0.004522
